,20,25,30,40,50,60,70,80,90,100,110
1,0,0,300-500,400-700,400-800,500-1000,600-1200,700-1300,800-1500,800-1600,900-1800
2,400-700,0,500-1000,700-1300,800-1600,1000-2000,1200-2300,1300-2600,1500-2900,1600-3200,1800-3600
3,700-1300,800-1600,1000-2000,1300-2600,1600-3200,2000-3900,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000
4,1300-2600,1600-3200,2000-3900,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000
5,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000
6,3000-6000,3000-6000,3000-6000,3000-6000,3000-6000,3000-6000,3000-6000,3000-6000,3000-6000,3000-6000,3000-6000
7,3000-6000,3000-6000,3000-6000,3000-6000,3000-6000,3000-6000,3000-6000,3000-6000,3000-6000,3000-6000,3000-6000
8,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000
9,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000
10,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000
11,6000-12000,6000-12000,6000-12000,6000-12000,6000-12000,6000-12000,6000-12000,6000-12000,6000-12000,6000-12000,6000-12000
12,6000-12000,6000-12000,6000-12000,6000-12000,6000-12000,6000-12000,6000-12000,6000-12000,6000-12000,6000-12000,6000-12000
13,8000-16000,8000-16000,8000-16000,8000-16000,8000-16000,8000-16000,8000-16000,8000-16000,8000-16000,8000-16000,8000-16000
